obs,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,0,0.2065493143772375,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,0.09453120573423074,0.3423802275066532,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0.06149194472039624,0.20765960080204776,0.43850296824495466,NA,NA,NA,NA,NA,NA,NA
4,0,0.04558726080970059,0.15003898915214955,0.300641842582402,0.5101091635454028,NA,NA,NA,NA,NA,NA
5,3.1392529421349366e-17,0.03622410863243014,0.11762077423264794,0.230724281276013,0.37553462976252544,0.5655175352168254,NA,NA,NA,NA,NA
6,0,0.030053369748306673,0.09677141110578052,0.18761630648265057,0.29999331513839217,0.43649717781353,0.6096657120978348,NA,NA,NA,NA
7,0,0.02567962434474356,0.08221892400405677,0.1582198552514697,0.25045836452765724,0.3589344518326194,0.4868721707256811,0.6456695649333126,NA,NA,NA
8,0,0.02241749145005667,0.07147921275210903,0.13684428582359742,0.21521606221387762,0.3057423946026274,0.409275430310169,0.5291118177871464,0.6755924351161198,NA,NA
9,0,0.01989088763854492,0.06322510711784675,0.120583818386911,0.18877852109766463,0.2666512934954931,0.3542021355803963,0.45258896910698904,0.5650002944233441,0.7008549515804561,NA
10,2.0052493003217288e-17,0.017876213095072892,0.056682151454375274,0.10779126740630104,0.1681803297062362,0.23659309051256402,0.31267376973365835,0.3967781474611453,0.49016247153664183,0.5958499732047615,0.7224672001371109
11,0,0.016232172885884823,0.051367689746085084,0.09746059290024896,0.15166471095367584,0.21271271622459773,0.280091537409322,0.35380117450784904,0.434354698823871,0.5230194380391561,0.6226415635484045
12,0,0.01486509440491714,0.04696514218385383,0.08894166839405475,0.13812009109121318,0.19326031365875665,0.2537815976337061,0.31951131254954984,0.39062208887279953,0.4676946650664344,0.5519691377470266
13,0,0.013710421242556586,0.04325817835808126,0.08179528718498563,0.12680703655710515,0.17709707797762575,0.2320606780953831,0.2914379571450601,0.35522891512665694,0.4236934318054904,0.49743624053272506
