obs,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,0.7934506856227626,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.6576197724933468,0.9054687942657692,1,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5614970317550454,0.7923403991979524,0.9385080552796038,1,NA,NA,NA,NA,NA,NA,NA
4,0.4898908364545972,0.699358157417598,0.8499610108478505,0.9544127391902995,1,NA,NA,NA,NA,NA,NA
5,0.43448246478317465,0.6244653702374747,0.769275718723987,0.882379225767352,0.9637758913675698,1,NA,NA,NA,NA,NA
6,0.39033428790216523,0.5635028221864702,0.7000066848616079,0.8123836935173494,0.9032285888942195,0.9699466302516934,1,NA,NA,NA,NA
7,0.3543304350666873,0.5131278292743188,0.6410655481673806,0.7495416354723426,0.8417801447485301,0.9177810759959433,0.9743203756552564,0.9999999999999999,NA,NA,NA
8,0.3244075648838801,0.4708881822128534,0.590724569689831,0.6942576053973727,0.7847839377861224,0.8631557141764027,0.9285207872478909,0.9775825085499433,0.9999999999999999,NA,NA
9,0.299145048419544,0.4349997055766559,0.547411030893011,0.6457978644196037,0.7333487065045069,0.8112214789023353,0.8794161816130889,0.9367748928821533,0.980109112361455,1.0000000000000002,NA
10,0.27753279986288915,0.40415002679523837,0.5098375284633582,0.6032218525388545,0.6873262302663417,0.763406909487436,0.8318196702937638,0.892208732593699,0.9433178485456247,0.9821237869049271,1
11,0.25883296696803165,0.37735843645159556,0.47698056196084415,0.5656453011761291,0.6461988254921511,0.7199084625906779,0.7872872837754024,0.8483352890463244,0.902539407099751,0.948632310253915,0.9837678271141153
12,0.2424940066552408,0.3538799111411169,0.44803086225297334,0.5323053349335656,0.6093779111272004,0.6804886874504502,0.7462184023662939,0.8067396863412435,0.861879908908787,0.9110583316059452,0.9530348578161463
13,0.2280953723541983,0.33313950921099583,0.4223463101948253,0.5025637594672749,0.5763065681945095,0.644771084873343,0.7085620428549398,0.7679393219046169,0.8229029220223743,0.8731929634428948,0.9182047128150144
14,0.21531080273763575,0.31468704424151117,0.3994137949697035,0.47589230586600284,0.5464908432989318,0.6123557689609261,0.6740935542034925,0.7320079754758636,0.7861920109552588,0.8365526824644588,0.8827862135542308
15,0.20388330103584854,0.2981652987378002,0.3788198283232236,0.45185448715169346,0.5195043405598055,0.582864522614802,0.6425316987937539,0.698830199745016,0.7519046463426261,0.801755038586584,0.8482367556028527
16,0.19360768053443644,0.28328737570298934,0.3602282726575869,0.4300888096197414,0.4949831653550878,0.5559564416525933,0.6135895945449727,0.6682144360118809,0.7200043638967398,0.7690134759450764,0.8151876744113636
17,0.18431813500885175,0.26982030637575394,0.34336350594885867,0.41029458568834115,0.4726179811956497,0.5313311006653983,0.5869963651478131,0.6399455735700021,0.6903676493999557,0.7383489355759055,0.7838894320978519
18,0.17587922364665756,0.2575730078187259,0.32799765130178793,0.3922203810391572,0.45214584316212614,0.5087265656029745,0.5625053270405488,0.6138095839776209,0.6628358435795721,0.7096897849483002,0.7544048187299436
19,0.16817922405261618,0.24638731166898778,0.31394082711108995,0.3756547527032907,0.43334278443814156,0.48791550897815095,0.5398959232467252,0.5896046683519692,0.6372409646574495,0.6829219075488682,0.7267019483882041
20,0.1611251580528193,0.23613119344674197,0.3010336452284872,0.3604188647407569,0.4160174322518935,0.46870087761874396,0.5189728183535234,0.56714572331476365,0.6134184992377468,0.6579146575496576,0.7007019918017876
21,0.15463901892484688,0.22669360074122552,0.2891413907391825,0.3463606028062094,0.40000564690204915,0.45091173682950747,0.4995638071608559,0.5462654802574475,0.5912134622488424,0.6345344563069328,0.6763046541715557
22,0.14865487460862084,0.21798045838657326,0.2781494684160581,0.33334987166571717,0.38516607437126543,0.4343995317522171,0.4815173401240238,0.5268140225895724,0.5704829190986898,0.6126518152368488,0.6534020467926506
23,0.14311661845042678,0.20991155070258868,0.2679598107574366,0.3212748227009596,0.37137647640226135,0.41903483016264,0.46470004837425366,0.508657562687592,0.5510966462273699,0.5921447760861829,0.6318862491498353
24,0.13797620467498012,0.20241806478655933,0.25848802193210674,0.3100388127050006,0.35853070649699054,0.40470453253188654,0.44899444005154,0.4916769366449663,0.5329368316186824,0.5729003755732572,0.6116533413477123
25,0.13319225093904843,0.19544063736193731,0.24966108950395313,0.29955793920927326,0.3465362160717886,0.3913095036954034,0.43429683355429083,0.47576605190361576,0.5158973072689776,0.5548150225183514,0.5926054264103301
26,0.12872892185921525,0.18892778903034751,0.24141553771629062,0.28975903211713633,0.33531199328213473,0.3787625711931699,0.42051554078943687,0.46083040379176177,0.49988258322198365,0.5377942881118918,0.5746514991488448
27,0.12455502974186704,0.18283465933575843,0.23369592683023147,0.28057800818279827,0.3247868542781298,0.36698683618548433,0.40756928866632575,0.4467857131455307,0.48480682964148153,0.5217523949267993,0.5577076558789761
28,0.12064330476584559,0.17712197743353317,0.22645362568399047,0.27195851548672156,0.31489802163525293,0.3559142478934294,0.39538585653721864,0.4335567031899896,0.4705928843329571,0.5066115681914239,0.541696934855722
29,0.11696979849974071,0.17175521879320282,0.2196458015027569,0.26385081090773793,0.3055899372035201,0.3454843989019523,0.383900904038679,0.4210760161781133,0.45717132416865935,0.49230134233093154,0.5265489590952386
30,0.11351339317396873,0.1667039099140917,0.21323458362616918,0.2562108257918408,0.29681326682036296,0.3356435050641603,0.37305696413148254,0.40928326158122175,0.4444796169518888,0.4787578745871495,0.5121994835545616
31,0.1102553954604359,0.16194105164724903,0.20718636736298118,0.2489993844339283,0.2885240625630642,0.32634353958793255,0.3628025781179546,0.39812418383342046,0.4324613580943379,0.4659232933074992,0.49858990691914357
